1,Ensanche Ozama,1
2,Bo. Oxigeno,1
3,Molinuevo,1
4,Ramón Matías Mella,1
5,Bo. El Dique,1
6,Futuro Curazao,1
7,Ens. Alma Rosa,2
8,Jardines De Alma Rosa,2
9,Rep. Patria Mella,2
10,Rep. Alma Rosa,2
11,Las Palmas De Alma Rosa,3
12,Mi Hogar,3
13,Residencial Del Este,3
14,El Brisal,3
15,Urb. Mendoza I,3
16,Urb. Mendoza II,3
17,Urb. El Palmar,3
18,Carolina,3
19,Hamarap,3
20,Herradura,3
21,Alma Rosa II,4
22,Ivette,4
23,El Rosal,4
24,Urb. Italia,4
25,Exclusividad del Italia,4
26, Villa María,4
27,Urb. Capotillo,4
28,Ralma,4
29,Nuevo Sol Naciente,4
30,Savica,4
31,Res. La Primavera,4
32,Loteria,4
33,Vecinos Unidos ,4
34,La Esperanza,4
35,Urb. Mercedes,4
36,Arpe II,4
37,Res. Oasis,4
38,Bo. Anacaona,4
39,Res. Tito III,4
40,Urb. Amanda I 7 Urb. Carola,4
41,Urb. Amanda II 8 Arpe I ,4
42,Res. Sharae ,4
43,Marlin IV,4
44,Rep. Los Tres Ojos,5
45,Bo. Valle Del Este,5
46,Res. Juan Carlos,5
47,Bo. Paraiso Oriental,5
48,Res. Magdalen,5
49,Urb. Los Ángeles,5
50,Urb. Franconia,5
51,Delta Amarilis I,5
52,Delta Amarilis II,5
53,Dinna I,5
54,Res. Terrazas del Atlantico,5
55,Conjunto Hab. Los Tres Ojos,5
56,Villa Olímpica,6
57,Maquiteria,6
58,Las Américas,6
59,Res. Parque del Este ,6
60,Parque del Este III,6
61,Calero,7
62,Pueblo Nuevo,7
63,Los Molinos,7
64,La Francia,7
65,Simonico,7
66,Villa Duarte,7
67,Parque del Este (El Pensador),8
68,Parque del Este II,8
69,Los Mameyes,8
70,Puerca Brava,8
71,Bo. La Tablita,8
72,Proyecto Turistico San Souci,8
73,Comunidades Catalanas,8
74,Residencial San Souci,8
75,Los Profesionales,8
76,Bo. Los Coquitos,9
77,Urb. Doña Lucia,9
78,Res. Acuario,9
79,Brisas Del Mar,9
80,Urb. Los Antares,9
81,Bo. La Isabelita,9
82,Los Farallones,9
83,Ens. Isabelita,9
84,Res. Los Tres Ojos,9
85,Urb. Margarita,9
86,Urb. Margarita II,9
87,Ciudades de España,9
88,El Almendro,10
89,Res. Rosario Mieses,10
90,Res. Mella,10
91,Narciza,10
92,Mandinga,10
93,El Alba,10
94,Urb. Carola,10
95,Arpe I,10
96,Bo. La Campana,10
97,Res. Ines II,10
